trial,phase_distance,phase_0,phase_1,phase_2,phase_3
0,2.0759447668635036,2.2507908835271524e-06,0.6080035272822997,0.06266828350631666,0.08625660558293818
1,2.5407694242264602,2.2507908835271524e-06,0.7920105321812299,0.3254707741737197,0.33146050794646714
2,2.135767035788992,2.2507883846461094e-06,0.39275107651328406,0.43680326637718525,0.5852226065611046
3,2.1973471030308844,2.2507908835271524e-06,0.58392516618162,0.5281222156831947,0.6252259105134044
4,2.551644786468525,2.2507908835271524e-06,0.9979906492696099,0.7908653910500113,0.3315969312902598
5,3.085434348142625,2.2507908835271524e-06,0.8699486351299669,0.3903783490309599,0.2009032747990368
6,3.335924277535994,2.2507896340869776e-06,0.985319021761138,0.6401635008432587,0.94088745079391
7,2.0449242345452703,2.2507883846461094e-06,0.22554190256353163,0.762882831331523,0.4692192319920356
8,2.5417460558487868,2.2507908835271524e-06,0.4910235973513767,0.38722238068183723,0.8277602768762695
9,1.4458674292359024,2.2507908835271524e-06,0.32546157717146573,0.8723040297819777,0.3984175885950649
10,1.2757537259991116,2.2507883846461094e-06,0.5751025280493097,0.7987142207874343,0.5171664789785351
11,0.5810937456193347,2.2507908835271524e-06,0.5577511503716335,0.05883711569823794,0.5429314382883443
12,3.269038790749615,2.2507896340869776e-06,0.8858249094314244,0.5462233141483143,0.8588126024692975
13,2.786316120506291,2.2507908835271524e-06,0.1797680694969496,0.839516907315325,0.024739728085814212
14,2.461738366167568,2.2507908835271524e-06,0.025684415729963793,0.21517614941029392,0.6174445289781583
15,2.8739979536025744,2.2507908835271524e-06,0.9731393142414163,0.09231367103763605,0.9685908176145226
16,2.8800291106497844,2.2507908835271524e-06,0.34088727099191896,0.6223935356176972,0.039591899971216815
17,2.8613618673935073,2.2507908835271524e-06,0.7658646410999849,0.25034196201029757,0.020105034722624853
18,2.1624605914551136,2.2507908835271524e-06,0.670809417493817,0.3822964428021424,0.5627153026865707
19,2.4978525854222133,2.2507908835271524e-06,0.46936385835310185,0.3183946947212515,0.8699968985343597
20,1.6254735584380926,2.2507908835271524e-06,0.557692570865419,0.7110405325397304,0.4735809987508886
21,2.017519645752074,2.2507896340869776e-06,0.545423897352405,0.015016187838139525,0.022194430187200777
22,2.8386624305256913,2.2507921329666335e-06,0.09659602149104171,0.5962405280142123,0.6445629391536831
