trial,phase_distance,phase_0,phase_1,phase_2,phase_3
0,2.139312918868901,2.2507908835271524e-06,0.6080035272822997,0.06266828350631666,0.08625660558293818
1,2.5667318315723007,2.2507908835271524e-06,0.7920105321812299,0.3254707741737197,0.33146050794646714
2,2.0767368620410336,2.2507883846461094e-06,0.39275107651328406,0.43680326637718525,0.5852226065611046
3,1.9274400687246536,2.2507908835271524e-06,0.58392516618162,0.5281222156831947,0.6252259105134044
4,3.0803879789503035,2.2507908835271524e-06,0.9979906492696099,0.7908653910500113,0.3315969312902598
5,2.284150194291213,2.2507908835271524e-06,0.8699486351299669,0.3903783490309599,0.2009032747990368
6,2.203316505391201,2.2507896340869776e-06,0.985319021761138,0.6401635008432587,0.94088745079391
7,2.903543923568205,2.2507883846461094e-06,0.22554190256353163,0.762882831331523,0.4692192319920356
8,1.2433371675489822,2.2507908835271524e-06,0.4910235973513767,0.38722238068183723,0.8277602768762695
9,2.843092810832398,2.2507908835271524e-06,0.32546157717146573,0.8723040297819777,0.3984175885950649
10,2.609520438965381,2.2507883846461094e-06,0.5751025280493097,0.7987142207874343,0.5171664789785351
11,2.8147450615241643,2.2507908835271524e-06,0.5577511503716335,0.05883711569823794,0.5429314382883443
12,2.0802643517754276,2.2507896340869776e-06,0.8858249094314244,0.5462233141483143,0.8588126024692975
13,2.4382026401697616,2.2507908835271524e-06,0.1797680694969496,0.839516907315325,0.024739728085814212
14,3.1444984004382053,2.2507908835271524e-06,0.025684415729963793,0.21517614941029392,0.6174445289781583
15,2.7718773021099907,2.2507908835271524e-06,0.9731393142414163,0.09231367103763605,0.9685908176145226
16,1.2423085008881163,2.2507908835271524e-06,0.34088727099191896,0.6223935356176972,0.039591899971216815
17,2.051991767766691,2.2507908835271524e-06,0.7658646410999849,0.25034196201029757,0.020105034722624853
18,2.326929509070198,2.2507908835271524e-06,0.670809417493817,0.3822964428021424,0.5627153026865707
19,1.354478012485694,2.2507908835271524e-06,0.46936385835310185,0.3183946947212515,0.8699968985343597
20,2.370184188186982,2.2507908835271524e-06,0.557692570865419,0.7110405325397304,0.4735809987508886
21,2.0227272791309714,2.2507896340869776e-06,0.545423897352405,0.015016187838139525,0.022194430187200777
22,2.6884206190130984,2.2507921329666335e-06,0.09659602149104171,0.5962405280142123,0.6445629391536831
23,1.6148228678051673,2.2507896340869776e-06,0.5634998252751375,0.6753723226015715,0.19768601874698025
24,3.36656056198727,2.2507921329666335e-06,0.011084776927645234,0.9300586868486928,0.3884590003866845
25,3.3404751303013622,2.2507908835271524e-06,0.8671094575185829,0.02354033875258725,0.43554532329835954
26,3.4306773979843577,2.2507883846461094e-06,0.042876507817129914,0.05744153545938854,0.4726485836034078
27,3.14807388664624,2.2507883846461094e-06,0.2023624778545571,0.06225559233519004,0.6183908581725572
28,1.7092036479711143,2.2507896340869776e-06,0.36757863224458454,0.590799520536005,0.2461308721680064
29,0.7020877213201802,2.2507896340869776e-06,0.5179482004835432,0.5126982864677263,0.8881543360693367
30,1.6062036962253323,2.2507896340869776e-06,0.48229482550586605,0.7442952067219062,0.13090312367980508
31,2.8420491763264053,2.2507908835271524e-06,0.24609291204142206,0.2439708076636948,0.46520856897509244
32,2.757854258190689,2.2507908835271524e-06,0.9217095173827475,0.3678492851969055,0.35163864328140243
33,2.2500501244833573,2.2507908835271524e-06,0.22662113210066165,0.4621199213864486,0.30806720568528473
34,2.798867412475553,2.2507883846461094e-06,0.4684734150562372,0.02169647670678887,0.5693525098990025
35,1.9110883942352084,2.2507908835271524e-06,0.6362050813508708,0.657964474985655,0.25450850960809246
36,3.0549536336994794,2.2507908835271524e-06,0.9343276660706943,0.2894872617674185,0.5144691684134072
37,2.03925439096929,2.2507908835271524e-06,0.9572422985337917,0.4495198301819496,0.9421792546253498
38,2.077689812582475,2.2507896340869776e-06,0.3889072970760604,0.562537151506071,0.4111887319962048
39,2.056674517581098,2.2507908835271524e-06,0.6091639893093707,0.0824474916099356,0.9681069461458804
40,2.7338954136073026,2.2507921329666335e-06,0.11163205254582372,0.3218363004018755,0.6828784277566314
41,2.7914913767781875,2.2507908835271524e-06,0.531619303926192,0.9947817694618869,0.420255671811398
